State, FacilityName, FacilityID, UnitID, Year, Latitude,Longitude
AL,AMEA Sylacauga Plant,56018,1,2010,33.1661,-86.2825
AL,AMEA Sylacauga Plant,56018,1,2011,33.1661,-86.2825
AL,AMEA Sylacauga Plant,56018,1,2012,33.1661,-86.2825
AL,AMEA Sylacauga Plant,56018,1,2013,33.1661,-86.2825
AL,AMEA Sylacauga Plant,56018,1,2014,33.1661,-86.2825
AL,AMEA Sylacauga Plant,56018,2,2010,33.1661,-86.2825
AL,AMEA Sylacauga Plant,56018,2,2011,33.1661,-86.2825
AL,AMEA Sylacauga Plant,56018,2,2012,33.1661,-86.2825
AL,AMEA Sylacauga Plant,56018,2,2013,33.1661,-86.2825
AL,AMEA Sylacauga Plant,56018,2,2014,33.1661,-86.2825
AL,Ascend (Decatur Plant),880041,X015,2010,34.6339,-87.0244
AL,Ascend (Decatur Plant),880041,X015,2011,34.6339,-87.0244
AL,Ascend (Decatur Plant),880041,X015,2012,34.6339,-87.0244
AL,Ascend (Decatur Plant),880041,X015,2013,34.6339,-87.0244
AL,Ascend (Decatur Plant),880041,X015,2014,34.6339,-87.0244
AL,Ascend (Decatur Plant),880041,Z005,2010,34.6339,-87.0244
AL,Ascend (Decatur Plant),880041,Z005,2011,34.6339,-87.0244
AL,Ascend (Decatur Plant),880041,Z005,2012,34.6339,-87.0244
AL,Ascend (Decatur Plant),880041,Z005,2013,34.6339,-87.0244
AL,Ascend (Decatur Plant),880041,Z005,2014,34.6339,-87.0244
AL,Ascend (Decatur Plant),880041,Z006,2010,34.6339,-87.0244
AL,Ascend (Decatur Plant),880041,Z006,2011,34.6339,-87.0244
AL,Ascend (Decatur Plant),880041,Z006,2012,34.6339,-87.0244
AL,Ascend (Decatur Plant),880041,Z006,2013,34.6339,-87.0244
AL,Ascend (Decatur Plant),880041,Z006,2014,34.6339,-87.0244
AL,BP Amoco Chemical Company,880075,AB4302,2010,34.64,-87.0583
AL,BP Amoco Chemical Company,880075,AB4302,2011,34.64,-87.0583
AL,BP Amoco Chemical Company,880075,AB4302,2012,34.64,-87.0583
AL,BP Amoco Chemical Company,880075,AB8301,2010,34.64,-87.0583
